Course Title,Subject,Enrollments,Completion Rate,Region,Date
Necessary blue may.,Arts,7971,93.11,Asia,2023-05-29
East where.,Arts,3318,60.56,Europe,2021-03-22
Mind left.,Business,6285,61.09,Asia,2021-12-09
Country story issue middle.,Arts,5740,89.78,Africa,2023-09-25
Adult everyone wind.,Business,7703,72.38,South America,2018-11-16
Free book within.,Business,8035,68.75,Australia,2021-12-23
Business song expect.,Technology,4366,75.53,Europe,2019-03-08
Police describe.,Business,7365,55.29,Europe,2022-08-06
Number star.,Technology,2140,89.34,Europe,2019-11-15
Lay animal.,Technology,2601,71.02,Africa,2020-03-25
Soldier score see.,Technology,9617,61.41,South America,2018-08-24
May service.,Technology,3086,85.69,South America,2022-08-19
In in car my.,Business,8466,70.56,North America,2020-04-28
Physical include market.,Technology,9383,88.67,Europe,2019-08-26
Hospital current.,Arts,3123,67.41,North America,2018-08-23
Officer significant.,Arts,7734,86.11,Europe,2022-06-12
Role act fire.,Technology,5885,71.22,Australia,2022-10-31
Quality budget step.,Business,9270,85.99,Asia,2018-04-06
Strong common property.,Business,3374,71.17,Europe,2018-12-12
They study.,Technology,7469,67.64,Australia,2022-06-21
Night charge everything.,Arts,2116,66.78,North America,2022-01-15
Mrs run line.,Arts,7277,56.47,Australia,2023-02-24
Worker religious down.,Arts,1666,76.15,Africa,2021-09-27
Catch.,Arts,7031,82.42,North America,2018-10-17
Draw although usually.,Arts,4713,76.95,Africa,2018-08-03
Business Mr.,Technology,4017,85.75,Europe,2020-04-07
Whose coach.,Technology,8000,60.77,North America,2018-03-02
Recently.,Business,2869,96.41,Europe,2020-05-11
Determine usually truth situation.,Arts,7801,96.87,South America,2020-12-25
Within among reality.,Arts,9587,77.77,Asia,2022-06-20
Stuff indeed.,Arts,3799,84.4,Europe,2021-04-09
Goal somebody.,Business,4349,76.14,Europe,2019-10-12
History modern.,Business,9873,65.08,North America,2020-08-03
Anything add condition theory.,Business,2051,78.02,South America,2018-04-05
Whole tax might.,Business,6565,62.32,South America,2019-12-08
Line.,Arts,8752,76.09,North America,2021-10-13
Where miss.,Business,7653,58.87,Australia,2022-06-08
Appear dog.,Technology,9973,52.86,North America,2023-10-25
Protect lot.,Business,4159,57.89,South America,2021-09-21
Ability job.,Technology,6903,73.72,Europe,2021-07-21
Truth close.,Business,5219,62.63,Asia,2018-01-11
Owner.,Technology,907,94.61,Africa,2019-03-20
Part.,Technology,7987,70.93,South America,2019-05-28
Remain purpose.,Arts,4813,81.59,Africa,2021-07-18
Leg seem.,Technology,3580,88.41,Africa,2019-06-17
Teach particularly.,Arts,7873,76.19,Australia,2022-10-20
Specific attack carry.,Arts,1117,71.19,North America,2020-06-21
Body sort.,Technology,4022,55.5,Europe,2023-10-09
Writer hotel sell lay.,Arts,6480,63.54,Africa,2018-12-25
Boy really speech treatment.,Business,9892,75.57,North America,2019-08-12
Toward large.,Business,9373,61.37,Asia,2023-08-28
Tree blue second.,Technology,1972,78.25,Asia,2022-06-09
Foot visit.,Technology,1930,95.47,Australia,2019-10-20
Family.,Arts,6443,61.91,South America,2019-06-10
List majority take.,Arts,7001,53.29,Africa,2023-03-26
Enough argue.,Arts,2678,82.65,Asia,2022-07-23
Plan throughout.,Business,1808,77.74,Europe,2020-02-12
Stage what sort.,Business,2304,92.51,Asia,2023-05-31
Rich onto market.,Arts,1249,65.37,Australia,2023-11-07
Someone identify.,Technology,5894,79.4,Europe,2021-08-11
Real charge.,Business,3836,79.99,South America,2021-07-07
Able fear stay.,Business,1341,67.03,Australia,2020-03-15
I score.,Arts,5221,77.76,Africa,2018-09-11
Yet cover.,Business,4769,54.56,Australia,2023-11-05
Above.,Arts,2948,92.09,Africa,2018-03-01
Sometimes dinner.,Arts,4161,84.01,Australia,2021-04-12
Your economic.,Arts,8779,84.16,Asia,2018-06-09
Nation board.,Business,1454,69.39,Africa,2021-12-30
Walk nation already.,Technology,4286,55.21,Australia,2023-09-22
Rich for late.,Business,5544,85.91,Australia,2023-04-23
Beat however here.,Arts,3567,56.83,Asia,2022-02-06
Adult trial this.,Arts,8242,50.65,Asia,2019-07-23
We culture firm.,Technology,7890,83.91,Australia,2018-11-15
Conference within enough.,Technology,5330,85.98,Australia,2021-02-07
Ability car without.,Technology,4870,86.25,Africa,2020-11-20
Plant.,Technology,3502,97.74,Australia,2021-07-24
Understand bank middle.,Arts,3497,50.24,North America,2020-06-23
Explain push add.,Technology,1736,93.46,Australia,2018-02-09
Democrat make.,Technology,6150,73.89,Asia,2018-11-22
Letter site themselves.,Technology,3536,94.08,Europe,2021-02-26
Person century new.,Business,9919,60.43,Asia,2023-03-23
Along choice blue.,Business,2819,80.1,Australia,2022-08-13
Pick.,Technology,7427,56.51,Asia,2019-10-30
College trial.,Technology,6088,79.14,South America,2021-04-30
Book later into.,Business,6270,79.51,Africa,2019-01-13
Class per.,Arts,2909,92.31,Africa,2021-10-07
Trip conference during.,Arts,4679,86.03,Africa,2021-12-20
Particular argue.,Arts,6525,87.4,South America,2022-09-26
Fish art away.,Arts,9914,58.42,Europe,2023-03-20
Family.,Arts,3499,53.22,South America,2020-12-22
Board wait necessary.,Technology,7450,57.94,South America,2021-03-08
To floor.,Technology,5758,99.73,Asia,2018-12-28
Subject thing.,Technology,1377,98.01,Europe,2019-03-27
Civil record here.,Arts,2898,74.13,Europe,2018-12-31
Beyond century sell.,Arts,7532,74.1,Asia,2019-04-15
Economy if most radio.,Arts,8084,74.38,North America,2023-08-11
Return scene notice.,Arts,9012,72.93,Europe,2020-04-17
Not others.,Arts,5005,53.22,Europe,2019-10-15
Door.,Business,718,66.67,Australia,2019-08-16
Social benefit very.,Business,4933,60.28,Asia,2021-07-30
Family what.,Arts,8038,91.95,Africa,2018-07-20
Visit road wonder.,Technology,9742,82.5,Europe,2021-02-21
So impact later.,Technology,9397,60.81,Asia,2020-07-14
Inside clear sell.,Technology,3382,99.59,North America,2022-11-04
Security plan great.,Arts,2612,83.17,Africa,2019-02-05
Participant represent.,Business,5538,57.53,North America,2021-02-22
Much bar partner huge.,Technology,2547,89.88,Europe,2023-02-02
Ten paper total.,Business,9887,83.68,Africa,2023-04-22
Husband table science.,Technology,1931,59.51,South America,2018-09-30
Any.,Arts,7558,55.14,Europe,2018-11-10
Section likely trip end.,Technology,7305,52.32,North America,2023-11-12
Property different anything.,Arts,4962,96.82,Australia,2018-06-16
Hope behavior today.,Technology,1082,69.18,Africa,2019-07-26
Almost miss lose.,Business,7609,65.67,Asia,2021-04-27
Center live necessary represent.,Arts,4986,81.64,Africa,2023-09-10
Somebody.,Technology,5841,69.81,South America,2019-06-28
Design husband.,Arts,3819,84.7,Asia,2022-09-26
Chair fear carry.,Business,2286,74.42,Europe,2021-04-17
Because.,Arts,710,85.25,Australia,2020-09-19
Finally bill.,Business,2963,74.41,South America,2018-04-03
Leader nation less.,Technology,5154,88.01,Africa,2022-10-02
Democrat education.,Business,8900,51.5,Africa,2019-06-20
Minute eight pass.,Technology,512,89.74,South America,2023-08-11
